Matthew,מַתִּתְיָהו
Mark,מַרְקוֹס
Luke,לוּקָס
John,יוֹחָנָן
Acts,מִפְעֲלוֹת הַשְׁלִיחים
Romans,אֶל־הָרוֹמִִיִּים
"1 Corinthians",אֶל־הַקּוִֹרנְתִּיִּים א
"2 Corinthians",אֶל־הַקּוִֹרנְתִּיִּים ב
Galatians,אֶל־הַגָּלִָיִּים
Ephesians,אֶל־הָאֶפְסִיִּים
Philippians,אֶל־הַפִּילִפִּיִּים
Colossians,אֶל־הַקּוֹלַסִּים
"1 Timothy",אֶל־הַתַּסְלוֹנִיקִים א
"2 Timothy",אֶל־הַתַּסְלוֹנִיקִים ב
Titus,אֶל־טִיטוֹס
Philemon,אֶל־פִּילֵימוֹן
Hebrews,אל־העברים
James,יַעֲקֹב
"1 Peter",פֶּטְרוֹס א  
"2 Peter",פֶּטְרוֹס ב 
"1 John",יוֹחָנָן א 
"2 John",יוֹחָנָן ב 
"3 John",יוֹחָנָן ג 
Jude,יְהוּדָה
Revelation,חִזָּיוֹן